week,breaches,new_demand,waiting_list,breaches_delta,waiting_list_delta,new_demand_delta,scans_done,percent_breaches,capacity
2022-12-25,101.2,1204.5,3867.6000000000004,11.0,-212.30000000000018,-188.10000000000014,1446.5,0.026166097838452786,1394
2023-01-01,78.10000000000001,766.7,3625.6000000000004,-23.099999999999994,-242.0,-437.79999999999995,774.4000000000003,0.02154126213592233,1394
2023-01-08,170.5,1039.5,3617.9,92.39999999999999,-7.700000000000273,272.79999999999995,1133.0,0.04712678625722104,1394
2023-01-15,183.70000000000002,1138.5,3524.4,13.200000000000017,-93.5,99.0,1036.1999999999998,0.05212234706616729,1394
2023-01-22,215.60000000000002,1378.3000000000002,3626.7000000000003,31.900000000000006,102.30000000000018,239.80000000000018,1425.6000000000004,0.059447983014861996,1394
2023-01-29,139.70000000000002,1390.4,3579.4,-75.9,-47.30000000000018,12.099999999999909,1478.4,0.03902888752304856,1394
2023-02-05,93.50000000000001,1282.6000000000001,3491.4,-46.2,-88.0,-107.79999999999995,1105.4999999999998,0.02678008821676119,1394
2023-02-12,78.10000000000001,1403.6000000000001,3668.5000000000005,-15.400000000000006,177.10000000000036,121.0,1494.9000000000003,0.02128935532233883,1394
2023-02-19,78.10000000000001,1223.2,3577.2000000000003,0.0,-91.30000000000018,-180.4000000000001,1126.3999999999999,0.02183271832718327,1394
2023-02-26,57.2,1291.4,3674.0000000000005,-20.900000000000006,96.80000000000018,68.20000000000005,1174.8000000000002,0.0155688622754491,1394
2023-03-05,51.7,1333.2,3790.6000000000004,-5.5,116.59999999999991,41.799999999999955,1249.6000000000001,0.013639001741149157,1394
2023-03-12,64.9,1376.1000000000001,3874.2000000000003,13.200000000000003,83.59999999999991,42.90000000000009,1531.2,0.016751845542305507,1394
2023-03-19,80.30000000000001,1182.5,3719.1000000000004,15.400000000000006,-155.0999999999999,-193.60000000000014,1158.3000000000002,0.021591245193729666,1394
2023-03-26,96.80000000000001,1388.2,3743.3,16.5,24.199999999999818,205.70000000000005,1412.3999999999999,0.025859535703790775,1394
2023-04-02,92.4,1309.0,3719.1000000000004,-4.400000000000006,-24.199999999999818,-79.20000000000005,1361.8000000000002,0.024844720496894408,1394
2023-04-09,121.00000000000001,1125.3000000000002,3666.3,28.60000000000001,-52.80000000000018,-183.69999999999982,1354.1,0.03300330033003301,1394
2023-04-16,143.0,863.5000000000001,3437.5000000000005,21.999999999999986,-228.79999999999973,-261.80000000000007,918.5000000000001,0.04159999999999999,1394
2023-04-23,134.20000000000002,1206.7,3382.5000000000005,-8.799999999999983,-55.0,343.19999999999993,1271.6000000000001,0.03967479674796748,1394
2023-04-30,35.2,1217.7,3317.6000000000004,-99.00000000000001,-64.90000000000009,11.0,1170.4000000000003,0.010610079575596816,1394
2023-05-07,79.2,1210.0,3364.9,44.0,47.29999999999973,-7.7000000000000455,909.6999999999998,0.02353710362863681,1394
2023-05-14,105.60000000000001,1244.1000000000001,3665.2000000000003,26.400000000000006,300.3000000000002,34.100000000000136,1146.2,0.028811524609843937,1394
2023-05-21,91.30000000000001,1254.0,3763.1000000000004,-14.299999999999997,97.90000000000009,9.899999999999864,1361.8000000000002,0.024261911721718796,1394
2023-05-28,46.2,1236.4,3655.3,-45.10000000000001,-107.80000000000018,-17.59999999999991,1114.3000000000002,0.012639181462533854,1394
2023-06-04,79.2,1051.6000000000001,3777.4,33.0,122.09999999999991,-184.79999999999995,565.3999999999999,0.020966802562609202,1394
2023-06-11,124.30000000000001,1348.6000000000001,4263.6,45.10000000000001,486.2000000000003,297.0,1297.9999999999998,0.029153766769865842,1394
2023-06-18,338.8,1313.4,4314.200000000001,214.5,50.600000000000364,-35.200000000000045,1081.3000000000006,0.07853136155022947,1394
2023-06-25,346.5,1409.1000000000001,4546.3,7.699999999999989,232.09999999999945,95.70000000000005,1807.3,0.07621582385676264,1394
