,breaches,new_demand,waiting_list
2022-08-07,159.5,1135.2,3781.8
2022-08-14,155.10000000000002,1196.8000000000002,3790.6000000000004
2022-08-21,145.20000000000002,1135.2,3577.2000000000003
2022-08-28,130.9,1424.5000000000002,3779.6000000000004
2022-09-04,138.60000000000002,1102.2,3840.1000000000004
2022-09-11,148.5,1248.5,3936.9
2022-09-18,158.4,1293.6000000000001,3993.0000000000005
2022-09-25,216.70000000000002,1227.6000000000001,3894.0000000000005
2022-10-02,170.5,1279.3000000000002,3779.6000000000004
2022-10-09,220.00000000000003,1306.8000000000002,3807.1000000000004
2022-10-16,166.10000000000002,1292.5,3770.8
2022-10-23,154.0,1225.4,3612.4
2022-10-30,115.50000000000001,1164.9,3437.5000000000005
2022-11-06,100.10000000000001,1346.4,3624.5000000000005
2022-11-13,119.9,1377.2,3734.5000000000005
2022-11-20,102.30000000000001,1387.1000000000001,3798.3
2022-11-27,91.30000000000001,1347.5,3865.4
2022-12-04,52.800000000000004,1326.6000000000001,3817.0000000000005
2022-12-11,77.0,1400.3000000000002,4037.0000000000005
2022-12-18,90.2,1392.6000000000001,4079.9000000000005
2022-12-25,101.2,1204.5,3867.6000000000004
2023-01-01,78.10000000000001,766.7,3625.6000000000004
2023-01-08,170.5,1039.5,3617.9
2023-01-15,183.70000000000002,1138.5,3524.4
2023-01-22,215.60000000000002,1378.3000000000002,3626.7000000000003
2023-01-29,139.70000000000002,1390.4,3579.4
2023-02-05,93.50000000000001,1282.6000000000001,3491.4
2023-02-12,78.10000000000001,1403.6000000000001,3668.5000000000005
2023-02-19,78.10000000000001,1223.2,3577.2000000000003
2023-02-26,57.2,1291.4,3674.0000000000005
2023-03-05,51.7,1333.2,3790.6000000000004
2023-03-12,64.9,1376.1000000000001,3874.2000000000003
2023-03-19,80.30000000000001,1182.5,3719.1000000000004
2023-03-26,96.80000000000001,1388.2,3743.3
2023-04-02,92.4,1309.0,3719.1000000000004
2023-04-09,121.00000000000001,1125.3000000000002,3666.3
2023-04-16,143.0,863.5000000000001,3437.5000000000005
2023-04-23,134.20000000000002,1206.7,3382.5000000000005
2023-04-30,35.2,1217.7,3317.6000000000004
2023-05-07,79.2,1210.0,3364.9
2023-05-14,105.60000000000001,1244.1000000000001,3665.2000000000003
2023-05-21,91.30000000000001,1254.0,3763.1000000000004
2023-05-28,46.2,1236.4,3655.3
2023-06-04,79.2,1051.6000000000001,3777.4
2023-06-11,124.30000000000001,1348.6000000000001,4263.6
2023-06-18,338.8,1313.4,4314.200000000001
2023-06-25,346.5,1409.1000000000001,4546.3
2023-07-02,203.50000000000003,1173.7,4148.1
2023-07-09,315.70000000000005,1267.2,4285.6
2023-07-16,518.1,1144.0,4395.6
2023-07-23,759.0000000000001,1184.7,4472.6
2023-07-30,823.9000000000001,1244.1000000000001,4600.200000000001
2023-08-06,970.2,1274.9,4919.200000000001
2023-08-13,1126.4,1015.3000000000001,4952.200000000001
2023-08-20,1116.5,1194.6000000000001,4917.0
2023-08-27,1163.8000000000002,1184.7,5016.0
2023-09-03,1159.4,1135.2,5201.900000000001
2023-09-10,1162.7,1267.2,5160.1
2023-09-17,1182.5,1312.3000000000002,5232.700000000001
2023-09-24,1001.0000000000001,1419.0000000000002,5255.8
2023-10-01,720.5000000000001,1450.9,5065.5
2023-10-08,688.6,1326.6000000000001,5204.1
2023-10-15,869.0000000000001,643.5,5450.5
2023-10-22,787.6,1292.5,5573.700000000001
2023-10-29,882.2,1327.7,5630.900000000001
2023-11-05,951.5000000000001,1439.9,5799.200000000001
2023-11-12,1062.6000000000001,1412.4,5786.000000000001
2023-11-19,1302.4,1372.8000000000002,5795.900000000001
2023-11-26,1510.3000000000002,1373.9,5953.200000000001
2023-12-03,1393.7,1415.7,5852.000000000001
2023-12-10,1392.6000000000001,1285.9,5828.900000000001
2023-12-17,1551.0000000000002,1252.9,5845.400000000001
2023-12-24,1647.8000000000002,1433.3000000000002,5926.8
2023-12-31,1729.2,826.1,5580.3
2024-01-07,1630.2,998.8000000000001,5398.8
2024-01-14,1646.7,1548.8000000000002,5644.1
